értékelt mondat,elsődleges szándék név,elsődleges szándék érték,paraméter név,paraméter érték,többi szándék
"Szeretnék a feleségemnek vásárolni egy romantikus kézszobrot.
",order,99.98%,"[('feleségemnek', 'GENDERROLE'), ('kézszobrot', 'PRODUCT')]","['feleség', 'romantikus', 'kézszobor']","[{'name': 'information', 'percentage': '0.02%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"A barátnőmnek szeretnék venni egy fekete rózsacsokrot díszdobozban.
",order,100.00%,"[('fekete', 'PRODUCTCOLOR'), ('rózsacsokrot', 'PRODUCT')]","['barátnő', 'fekete', 'rózsacsokor', 'díszdoboz']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Vennék egy kis virágcsokrot
",complaint,78.51%,[],"['kis', 'virágcsokor', '\n']","[{'name': 'information', 'percentage': '21.46%'}, {'name': 'order', 'percentage': '0.02%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"Valami virágcsokrot szeretnék venni Valentin-napra
",order,100.00%,[],"['virágcsokor', 'valentin-napra']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Kérek egy rózsamacit kiszállítva.
",information,99.47%,"[('rózsamacit', 'PRODUCT')]",['rózsamacit'],"[{'name': 'order', 'percentage': '0.01%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.51%'}]"
"Szeretnék a nővéremnek / férjemnek / feleségemnek emléktárgyat venni.
",order,99.20%,"[('férjemnek', 'GENDERROLE'), ('feleségemnek', 'GENDERROLE')]","['nővér', 'férj', 'feleség', 'emléktárgy']","[{'name': 'information', 'percentage': '0.80%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Úgy gondoltam egy csokor rózsa szép lenne.
",complaint,87.41%,[],"['csokor', 'rózsa', 'szép']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '12.59%'}]"
"Az évfordulóra szeretnék rendelni egy Róma térképet a nevünkkel, szépen becsomagolva, hogy már csak át kelljen adnom.
",order,99.38%,"[('térképet', 'PRODUCT')]","['évforduló', 'róma', 'térkép', 'név', 'szép', '\n']","[{'name': 'information', 'percentage': '0.07%'}, {'name': 'order_modification', 'percentage': '0.55%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Rendelek egy nagy arany rózsamacit. Érkezhet már eleve díszcsomagolásban, megcímzett kártyával.
",information,83.91%,"[('nagy', 'PRODUCTSIZE'), ('arany', 'PRODUCTCOLOR'), ('rózsamacit', 'PRODUCT'), ('díszcsomagolásban', 'PRODUCT')]","['arany', 'rózsamacit', 'díszcsomagolás', 'megcímzett', 'kártya', '\n']","[{'name': 'order', 'percentage': '0.01%'}, {'name': 'order_modification', 'percentage': '2.12%'}, {'name': 'complaint', 'percentage': '13.96%'}]"
"Küldjetek egy arany rózsa csokrot diszcsomagolásban, megcímzett ajándékkártyával.
",information,99.91%,"[('arany', 'PRODUCTCOLOR')]","['arany', 'rózsa', 'csokor', 'diszcsomagolás', 'megcímzett', 'ajándékkártya']","[{'name': 'order', 'percentage': '0.02%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.07%'}]"
"Rendelni szeretnék egy szál piros örökrózsát piros szívvel, Pétertől Katinak címzett kártyával.
",order_modification,100.00%,"[('piros', 'PRODUCTCOLOR')]","['szál', 'piros', 'örökrózsa', 'piros', 'szív', 'péter', 'kati', 'címzett', 'kártya', '\n']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Holnapután Valentin nap. Kérlek, küldjetek bármi rózsaszín ajándékot a barátnőmnek 10-15 ezer forint körül.
",order,99.99%,"[('Valentin nap', 'OCCASION'), ('rózsaszín', 'PRODUCTCOLOR'), ('barátnőmnek', 'GENDERROLE')]","['valentin', 'nap', 'rózsaszín', 'ajándék', 'barátnő', 'forint']","[{'name': 'information', 'percentage': '0.01%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Sziasztok! A weboldalon láttam, és szeretnék rendelni a feleségemnek -egy vörös rózsacsokrot.
",order,100.00%,"[('feleségemnek', 'GENDERROLE'), ('vörös', 'PRODUCTCOLOR')]","['weboldal', 'feleség', '-egy', 'vörös', 'rózsacsokor']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Tetszik ez a rózsacsokor, anyámnak szeretnék küldeni anyák napjára.
",order,100.00%,"[('anyák napjára', 'OCCASION')]","['rózsacsokor', 'anya', 'anya', 'nap']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Üdvözletem, szeretném megváltoztatni az édesanyámnak szánt rózsának a címét, az új cím legyen Székesfehérvár, toronysor 5.
",order_modification,100.00%,"[('címét', 'PRODUCT')]","['édesanya', 'szánt', 'rózsa', 'cím', 'cím', 'székesfehérvár', 'toronysor', '5.']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Azt hiszem a rendelésem kiszállításánál nem leszek otthon. Szeretném, ha a következő címre szállítanátok: 1111 Budapest Zenta utca 5.
",order,99.88%,"[('következő', 'GENDERROLE'), ('Budapest', 'OCCASION')]","['rendelés', 'kiszállítás', 'következő', 'cím', 'budapest', 'zenta', 'utca', '5.']","[{'name': 'information', 'percentage': '0.12%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Ha megoldható akkor a címet módosítanám 1112 Budapest Kérő utca 90.
",order_modification,100.00%,"[('címet', 'GENDERROLE'), ('Budapest', 'OCCASION')]","['megoldható', 'cím', 'budapest', 'kérő', 'utca', '90.', '\n']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Szeretném megváltoztatni a szállítási címet.
",order_modification,100.00%,"[('szállítási', 'GENDERROLE')]","['szállítási', 'cím']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"A rendelés leadása után vettem észre, hogy véletlenül kétszer tettem a kosárba az ágyneműt, úgyhogy az egyik megrendelést szeretném törölni.
",order_modification,98.86%,"[('ágyneműt', 'PRODUCT')]","['rendelés', 'leadás', 'ész', 'kosár', 'ágynemű', 'megrendelés']","[{'name': 'information', 'percentage': '0.23%'}, {'name': 'order', 'percentage': '0.90%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Szeretném megváltoztatni a rendelesémet, melyben egy személyes térkép volt és egy nagy rózsacsokor. Ha megoldható kettő nagy rózsacsokorra és 1 térképre változtatnám
",order_modification,100.00%,"[('rendelesémet', 'PRODUCT'), ('nagy', 'PRODUCTSIZE')]","['rendeleséem', 'személyes', 'térkép', 'rózsacsokor', 'megoldható', 'rózsacsokor', 'térkép', '\n']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Úgy tűnik valamiért 4 szál örökrózsát adtam le rendelésbe, de nekem csak kettő kellene. Nagyon örülnék, ha megváltoztatható lenne kettő darabra.
",order_modification,100.00%,[],"['szál', 'örökrózsa', 'rendelés', 'megváltoztatható', 'darab']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"A visszaigazolás szerint holnap szállítja ki a futár a megrendelt szív párnát, de nem fogom tudni átvenni. Megoldható lenne, hogy egy nappal később legyen kiszállítva?
",order_modification,100.00%,"[('visszaigazolás', 'GENDERROLE'), ('lenne', 'PRODUCT')]","['visszaigazolás', 'futár', 'megrendelt', 'szív', 'párna', 'megoldható', 'nap']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Rendeltem a feleségemnek 1 szupernagy kék rózsamacit díszcsomagolással 7 napos szállítási idővel, szeretném módosítani a kiszállítást 3 nappal későbbre
",order_modification,100.00%,"[('feleségemnek', 'GENDERROLE'), ('rózsamacit', 'PRODUCT')]","['feleség', 'szupernagy', 'kék', 'rózsamacit', 'díszcsomagolás', 'napos', 'szállítási', 'idő', 'kiszállítás', 'nap']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Tegnap rendeltem egy zöld nagy méretű rózsamacit, viszont praktikusabb lenne, ha a közepes méretűből vennék rózsaszínt. Örülnék, ha módosítani tudnátok a rendelésemet.
",order_modification,100.00%,"[('rózsamacit', 'PRODUCT'), ('közepes', 'GENDERROLE'), ('rendelésemet', 'GENDERROLE')]","['zöld', 'méretű', 'rózsamacit', 'praktikus', 'közepes', 'méretű', 'rózsaszín', 'rendelés']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Volt egy 9 ezer forintos rendelésem a weboldalon, melyben egy közepes méretű vörös rózsacsokor volt, örülnék, ha helyette egy nagy méretű vörös rózsacsokrot készítenétek 14 ezerért.
",complaint,95.56%,"[('weboldalon', 'PRODUCT'), ('közepes', 'GENDERROLE'), ('nagy', 'PRODUCTSIZE'), ('vörös', 'PRODUCTCOLOR')]","['forintos', 'rendelés', 'weboldal', 'közepes', 'méretű', 'vörös', 'rózsacsokor', 'méretű', 'vörös', 'rózsacsokor']","[{'name': 'information', 'percentage': '4.37%'}, {'name': 'order', 'percentage': '0.06%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"Holnapi nap az átvetelnél nekem kéne otthon lennem, de nem később érek haza, ezért szeretném, ha a feleségemnek adnák át a kézszobrokat
",order_modification,100.00%,"[('feleségemnek', 'GENDERROLE'), ('kézszobrokat', 'GENDERROLE')]","['holnapi', 'nap', 'átvetel', 'feleség', 'kézszobr']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Sajnos a rendelésemet nem tudom átvenni a kiszállítási napon. A fiamnak szóltam, hogy vegye át. Az elérhetőségét csatolom
",order_modification,100.00%,"[('kiszállítási', 'GENDERROLE'), ('fiamnak', 'GENDERROLE')]","['rendelés', 'kiszállítási', 'nap', 'fi', 'elérhetőség']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Amennyiben nem jelent problémát az eredeti rendelésemet, melyben egy szívpárna szerepel, szeretném, ha a jegyesemnek adnátok át egy üdvözlő üzenettel
",complaint,97.82%,"[('eredeti', 'PRODUCTCOLOR')]","['probléma', 'eredeti', 'rendelés', 'szívpárna', 'jegyesem', 'üdvözlő', 'üzenet']","[{'name': 'information', 'percentage': '0.01%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '2.18%'}]"
"A mai napon, 06.01-jén rendeltem ebből a werbshopból Pető Szilvia néven, 138359-es rendelésszámmal. Szeretnék a rendelésemhez még 1 db rózsaszín  rózsamacit adni. Kérhetem, a rendelésem módosítását?
",order_modification,99.99%,"[('néven', 'CUSTOMER'), ('rendelésszámmal', 'ORDERNUMBER'), ('rózsaszín', 'PRODUCT'), ('rózsamacit', 'PRODUCT')]","['mai', 'nap', '06.01-jén', 'werbshop', 'pető', 'szilvia', 'név', '138359-es', 'rendelésszám', 'rendelés', 'db', 'rózsaszín', ' ', 'rózsamaci', 'rendelés', 'módosítás']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.01%'}]"
"Szeretnék változtatni a szállítási címen. Reggel kaptam egy e-mailt, hogy ma érkezik a csomag a webshopból, de sajnos ma mégsem tudok otthon lenni. A munkahelyemen tudom átvenni. Kérhetem, a rendelésem módosítását?
",order,97.50%,"[('szállítási', 'GENDERROLE'), ('webshopból', 'PRODUCT')]","['szállítási', 'cím', 'e-mail', 'csomag', 'webshop', 'munkahely', 'rendelés', 'módosítás']","[{'name': 'information', 'percentage': '0.07%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '2.43%'}]"
"Rendeltem egy rózsamacit, de a színe mégsem tetszik. Szeretném, ha kicserélnétek fehér színűre piros helyett!
",order_modification,77.32%,"[('rózsamacit', 'PRODUCT'), ('fehér', 'PRODUCTCOLOR'), ('piros', 'PRODUCTCOLOR')]","['rózsamacit', 'szín', 'fehér', 'színű', 'piros']","[{'name': 'information', 'percentage': '22.66%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.02%'}]"
"10 közepes rózsamacit rendeltem, de mégis a nagyobb tetszik. Kérhetném a rendelésem módosítását? Köszönöm!
",order_modification,100.00%,"[('rózsamacit', 'PRODUCT'), ('nagyobb', 'GENDERROLE')]","['közepes', 'rózsamacit', 'rendelés', 'módosítás']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"3 db páros ágyneműt rendeltem , de szeretném kicserélni az egyiket egy romantikus kézszoborra. Kérhetném a rendelésem módosítását? Köszönöm!
",complaint,98.98%,"[('páros', 'PRODUCTCOLOR')]","['db', 'páros', 'ágynemű', 'egyik', 'romantikus', 'kézszobor', 'rendelés', 'módosítás']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '1.02%'}]"
"Ma rendeltem ebből a werbshopból Pető Szilvia néven, 4570065 relésszámmal.  Szeretnék a szállítási időn változtatni jövőhét szerdára. Kérhetem, a rendelésem módosítását?
",complaint,99.78%,"[('néven', 'CUSTOMER'), ('relésszámmal', 'OCCASION'), ('szállítási', 'GENDERROLE')]","['werbshop', 'pető', 'szilvia', 'név', 'relésszám', 'szállítási', 'idő', 'jövőhét', 'szerda', 'rendelés', 'módosítás']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.22%'}]"
"Szeretnék változtatni a szállítási címen. Reggel kaptam egy e-mailt, hogy ma érkezik a csomag a webshopból, de sajnos ma mégsem tudok otthon lenni. A munkahelyemen tudom átvenni. Kérhetem, a rendelésem módosítását?
",order,97.50%,"[('szállítási', 'GENDERROLE'), ('webshopból', 'PRODUCT')]","['szállítási', 'cím', 'e-mail', 'csomag', 'webshop', 'munkahely', 'rendelés', 'módosítás']","[{'name': 'information', 'percentage': '0.07%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '2.43%'}]"
